# SID (defaults to ID.startBit.[responseId]), ID (hex), startBit, endBit, resolution, offset (aplied BEFORE resolution multiplication), decimals, unit, requestID (hex string), responseID (hex string), options (hex, see MainActivity for definitions), optional name, optional list
# Dummies to avoid excessive Toast messages
,763,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,763,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,763,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,7E9,56,63,1,0,0,,2180,6180,ff,diagVersion
,7E9,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,7E9,128,143,1,0,0,,2180,6180,ff,Soft
,7E9,5144,159,1,0,0,,2180,6180,ff,Version
,7E9,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,7E9,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,7E9,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,7E9,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,76D,56,63,1,0,0,,2180,6180,ff,diagVersion
,76D,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,76D,128,143,1,0,0,,2180,6180,ff,Soft
,76D,5144,159,1,0,0,,2180,6180,ff,Version
,76D,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,76D,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,76D,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,76D,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,7E8,56,63,1,0,0,,2180,6180,ff,diagVersion
,7E8,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,7E8,128,143,1,0,0,,2180,6180,ff,Soft
,7E8,5144,159,1,0,0,,2180,6180,ff,Version
,7E8,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,7E8,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,7E8,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,7E8,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,7EC,56,63,1,0,0,,2180,6180,ff,diagVersion
,7EC,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,7EC,128,143,1,0,0,,2180,6180,ff,Soft
,7EC,5144,159,1,0,0,,2180,6180,ff,Version
,7EC,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,7EC,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,7EC,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,7EC,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,793,56,63,1,0,0,,2180,6180,ff,diagVersion
,793,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,793,128,143,1,0,0,,2180,6180,ff,Soft
,793,5144,159,1,0,0,,2180,6180,ff,Version
,793,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,793,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,793,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,793,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,7DD,56,63,1,0,0,,2180,6180,ff,diagVersion
,7DD,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,7DD,128,143,1,0,0,,2180,6180,ff,Soft
,7DD,5144,159,1,0,0,,2180,6180,ff,Version
,7DD,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,7DD,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,7DD,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,7DD,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,732,56,63,1,0,0,,2180,6180,ff,diagVersion
,732,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,732,128,143,1,0,0,,2180,6180,ff,Soft
,732,5144,159,1,0,0,,2180,6180,ff,Version
,732,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,732,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,732,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,732,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,772,56,63,1,0,0,,2180,6180,ff,diagVersion
,772,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,772,128,143,1,0,0,,2180,6180,ff,Soft
,772,5144,159,1,0,0,,2180,6180,ff,Version
,772,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,772,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
,772,24,279,1,0,0,,22F195,62F195,2ff,systemSupplierECUSoftwareVersionNumber
,772,24,31,1,0,0,,22F1A0,62F1A0,ff,diagnosticVersion
,7D7,56,63,1,0,0,,2180,6180,ff,diagVersion
,7D7,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,7D7,128,143,1,0,0,,2180,6180,ff,Soft
,7D7,5144,159,1,0,0,,2180,6180,ff,Version
,7D7,24,55,1,0,0,,22F18A,62F18A,2ff,systemSupplierIdentifier
,7D7,24,279,1,0,0,,22F194,62F194,2ff,systemSupplierECUSoftwareNumber
