D325,EMPTY_CALIB
E24F,DTC_MUX_BCM
E248,DTC_MUX_VDC
E24E,DTC_MUX_CLUSTER
E25B,DTC_MUX_USM
A612,TX_CAN2
A613,TX_CAN3
A614,TX_CAN4
A615,TX_CAN5
A616,TX_CAN6
A617,TX_CAN7
A618,TX_CAN8
FD01,APPLI_SW_AREA
FD02,CALIBRATION_AREA
E140,DTC_MUX_ECM
A600,GENERAL
